Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1,,
silver,007440-22-4,,"Ag;銀（資源）;Ag reserves;silver reserves,Ag;銀（資源）;Ag reserves;silver reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,c0dd54b3-e72b-4188-bc87-c26388f3aced,,,69011-54-7; 7440-22-4,69011-54-7; 7440-22-4
aluminium,007429-90-5,,"Al;aluminum;アルミニウム（資源）;Al reserves;aluminium reserves,Al;aluminum;アルミニウム（資源）;Al reserves;aluminium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,46ef7015-7dfe-44b4-b640-2d722b450d6a,,,12011-61-9; 7429-90-5,12011-61-9; 7429-90-5
gold,007440-57-5,,"Au;金（資源）;Au reserves;gold reserves,Au;金（資源）;Au reserves;gold reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,d4eae8ef-2d4d-42e7-bb95-a929d1ae0c1b,,,7440-57-5,7440-57-5
boron,007440-42-8,,"B;ホウ素（資源）;B reserves;boron reserves,B;ホウ素（資源）;B reserves;boron reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,83305966-6f4b-4735-a6f1-511948c7e332,,,14798-13-1; 7440-42-8,14798-13-1; 7440-42-8
barium,007440-39-3,,"Ba;バリウム（資源）;Ba reserves;barium reserves,Ba;バリウム（資源）;Ba reserves;barium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,735548e6-388e-4b6f-8260-2dba98ee5909,,,7440-39-3,7440-39-3
bismuth,007440-69-9,,"Bi;ビスマス（資源）;Bi reserves;bismuth reserves,Bi;ビスマス（資源）;Bi reserves;bismuth reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,1e71c35d-5184-499f-8aa5-1af044846620,,,14882-18-9; 7440-69-9,14882-18-9; 7440-69-9
cobalt,007440-48-4,,"Co;コバルト（資源）;Co reserves;cobalt reserves,Co;コバルト（資源）;Co reserves;cobalt reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,67608911-514c-4448-92ac-28ecbec385db,,,7440-48-4,7440-48-4
chromium,007440-47-3,,"Cr;Cr;chromium;chromium reserves,Cr;Cr;chromium;chromium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,efad5deb-57b2-4055-b5fd-eabbc7fcdfbd,,,19498-56-7; 7440-47-3,19498-56-7; 7440-47-3
copper,007440-50-8,,"Cu;銅（資源）;Cu reserves;copper reserves,Cu;銅（資源）;Cu reserves;copper reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ed53bebd-d75a-4c4e-a001-f30181f9cf10,,,7440-50-8,7440-50-8
iron,007439-89-6,,"Fe;鉄（資源）;Fe reserves;iron reserves,Fe;鉄（資源）;Fe reserves;iron reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,763f0557-9e80-4539-9f36-835e3b4e80dc,,,8048-10-0; 12597-68-1; 52013-36-2; 7439-89-6,8048-10-0; 12597-68-1; 52013-36-2; 7439-89-6
gadolinium,007440-54-2,,"Gd;ガドリニウム（資源）;Gd reserves;gadolinium reserves,Gd;ガドリニウム（資源）;Gd reserves;gadolinium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,8005a16f-34f0-47e6-8d13-44f0c2b0c54b,,,7440-54-2,7440-54-2
lanthanum,007439-91-0,,"La;ランタン（資源）;La reserves;lanthanum reserves,La;ランタン（資源）;La reserves;lanthanum reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,b5203955-3da0-4816-89ec-44d0394b7a59,,,7439-91-0,7439-91-0
lithium,007439-93-2,,"Li;リチウム（資源）;Li reserves;lithium reserves,Li;リチウム（資源）;Li reserves;lithium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,5791064d-59e1-4af5-aec3-59a1ffcac88f,,,7439-93-2,7439-93-2
manganese,007439-96-5,,"Mn;マンガン（資源）;Mn reserves;manganese reserves,Mn;マンガン（資源）;Mn reserves;manganese reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,93668a45-d41a-4bb4-9631-dec82c2816c3,,,7439-96-5,7439-96-5
molybdenum,007439-98-7,,"Mo;モリブデン（資源）;Mo reserves;molybdenum reserves,Mo;モリブデン（資源）;Mo reserves;molybdenum reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,15aeca1d-8e51-4ccc-a9af-0131bf23bec2,,,7439-98-7,7439-98-7
niobium,007440-03-1,,"Nb,Nb",kg,Geological,,,Resources/ground/Non-renewable element resources,41edb8cd-d384-4102-b917-e7a1ec47d4d5,,,53373-50-5; 7440-03-1,53373-50-5; 7440-03-1
neodymium,007440-00-8,,"Nd;ネオジム（資源）;Nd reserves;neodymium reserves,Nd;ネオジム（資源）;Nd reserves;neodymium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,cf740f06-c2eb-44fd-b4a8-fde1b081f005,,,7440-00-8,7440-00-8
nickel,007440-02-0,,"Ni;Ni;nickel;Ni,Ni;Ni;nickel;Ni",kg,Geological,,,Resources/ground/Non-renewable element resources,add9d904-042c-4053-b568-e78642f15705,,,21595-53-9; 7440-02-0,21595-53-9; 7440-02-0
phosphorus,007723-14-0,,"P;phosphorus,P;phosphorus",kg,Geological,,,Resources/ground/Non-renewable element resources,c413a10d-fc47-4572-8f7c-50a99d01d73e,,,7723-14-0; 12185-10-3,7723-14-0; 12185-10-3
lead,007439-92-1,,"Pb;鉛;Pb;lead,Pb;鉛;Pb;lead",kg,Geological,,,Resources/ground/Non-renewable element resources,ded95a0d-c995-4f39-9222-909f063102ab,,,14452-81-4; 54076-28-7; 7439-92-1,14452-81-4; 54076-28-7; 7439-92-1
praseodymium,007440-10-0,,"Pr;プラセオジム（資源）;Pr reserves;praseodymium reserves,Pr;プラセオジム（資源）;Pr reserves;praseodymium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,6a2ba045-51b7-482c-b3ba-286d35d39d83,,,7440-10-0,7440-10-0
platinum,007440-06-4,,"Pt;プラチナ,Pt",kg,Geological,,,Resources/ground/Non-renewable element resources,90ea0f3d-4388-4b1d-b10e-26d99ac28261,,,7440-06-4,7440-06-4
sulfur,007704-34-9,,"S;硫黄（資源）;S reserves;sulphur reserves,S;S reserves;sulphur reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,118ae1ba-353b-43ba-a6e2-ac66882b7be8,,,9035-99-8; 7704-34-9,9035-99-8; 7704-34-9
antimony,007440-36-0,,"Sb;アンチモン（資源）;Sb reserves;antimony reserves,Sb;アンチモン（資源）;Sb reserves;antimony reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,7b0d2689-00bb-4562-9953-b7459d983c0d,,,7440-36-0,7440-36-0
selenium,007782-49-2,,"Se;セレン;Se;selenium,Se;セレン;Se;selenium",kg,Geological,,,Resources/ground/Non-renewable element resources,4d6688df-f3eb-4c93-b6da-3741d4207c91,,,7782-49-2,7782-49-2
samarium,007440-19-9,,"Sm;サマリウム（資源）;Sm reserves;samarium reserves,Sm;サマリウム（資源）;Sm reserves;samarium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,aeab6f85-da08-4f93-a878-7ba451f45e24,,,7440-19-9,7440-19-9
tantalum,007440-25-7,,"Ta;タンタル（資源）;Ta reserves;tantalum reserves,Ta;タンタル（資源）;Ta reserves;tantalum reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,1f0c9688-a7a9-4492-a79d-719063801901,,,13981-95-8; 7440-25-7,13981-95-8; 7440-25-7
tellurium,013494-80-9,,"Te;テルル（資源）;Te reserves;tellurium reserves,Te;テルル（資源）;Te reserves;tellurium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,c3a430bd-7924-4ae5-b1fb-62afb92b9cb0,,,13494-80-9,13494-80-9
titanium,007440-32-6,,"Ti;チタン（資源）;Ti reserves;titanium reserves,Ti;チタン（資源）;Ti reserves;titanium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ef4b7b6c-457c-451d-8020-222d0e532ec6,,,14067-04-0; 7440-32-6,14067-04-0; 7440-32-6
uranium,007440-61-1,,"U;ウラン（資源）;U reserves;uranium reserves,U;ウラン（資源）;U reserves;uranium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,d1822a41-5d38-4418-9d10-0c1a86472e3a,,,13598-56-6; 7440-61-1,13598-56-6; 7440-61-1
vanadium,007440-62-2,,"V;バナジウム（資源）;V reserves;vanadium reserves,V;バナジウム（資源）;V reserves;vanadium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,3d4d3066-f33b-47b0-a8be-0e50b171baf8,,,22541-77-1; 22537-31-1; 7440-62-2,22541-77-1; 22537-31-1; 7440-62-2
tungsten,007440-33-7,,"W;タングステン（資源）;W reserves;tungsten reserves,W;タングステン（資源）;W reserves;tungsten reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,2aa2ef24-6f71-4607-959d-75bf0c4b81e9,,,7440-33-7,7440-33-7
zinc,007440-66-6,,"Zn;亜鉛（資源）;Zn reserves;zinc reserves,Zn;亜鉛（資源）;Zn reserves;zinc reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,8b373b90-4547-44b3-aad0-0bdca537adda,,,7440-66-6,7440-66-6
zirconium,007440-67-7,,"Zr;ジルコニウム（資源）;Zr reserves;zirconium reserves,Zr;ジルコニウム（資源）;Zr reserves;zirconium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,309f6647-a4dc-446b-b821-4df601300ec6,,,7440-67-7,7440-67-7
"metallurgical coal, 29.0MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,79a9374c-6cc6-472b-9105-ed43f4b29084,,,,
"hard coal, 25.7MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,e3346bf0-6d8b-4c5b-a905-4b57c62dd441,,,,
"brown coal, 17.2MJ/kg",,,",lignite",kg,Geological,,,Resources/ground/Non-renewable energy resources,c66a28da-4085-42e6-86cd-d635357e1f53,,,,
"crude oil, 44.7MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,6be2593f-447c-4679-8afc-a115d79d312a,,,,
"natural gas, 54.6MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,688566dc-43fc-4157-a958-699e918bafeb,,,,
"Natural Gas Liquids, 46.5MJ/kg",,,"NGL,NGL",kg,Geological,,,Resources/ground/Non-renewable energy resources,56991ece-e1c9-440f-96b0-0ca25b69d6c9,,,,
geothermal energy,,,,MJ,Energy,,,Resources/ground/Renewable energy resources,8dbb013f-0134-4b4c-b28e-2a316af0bfb4,,,,
